X,Y
44,117.3
55.439414,144.67
163.98,71.16
162.62,68.05
161.24,65.05
159.66,62.21
157.1,60.23
154.03,59.33
150.95,59.15
147.97,59.35
145.12,59.61
142.08,60.25
56.6,147.68
139.08,61.35
136.32,62.64
133.64,64.17
130.975585,65.695833
128.655455,67.406825
126.614167,69.864415
126.0975,73.2775
127.13,76.43
129.36,79.02
132.53,80.43
57.708832,150.57
135.61,80.9
138.67,81.19
141.75,81.53
144.86,82.1
147.91,83.03
150.952215,84.200586
153.9,85.8
155.93,88.18
156.991554,91.409365
156.77,94.71
58.808832,153.65
155.15,97.73
152.1,99.19
148.9,99.8
145.9,99.8
142.9,99.8
139.9,99.8
136.9,99.8
133.9,99.8
130.9,99.8
127.9,99.8
59.9,156.8
124.9,99.8
121.9,99.8
118.95,99.6
115.932939,99.235947
112.87,98.894794
109.849365,98.38
106.9,97.8
103.77,96.93
100.76,96.1
97.806607,95.2
60.91,159.7
94.75,94.14
91.58,93.09
88.621286,91.879522
85.79632,90.52088
83.1,89.1
80.2,87.5
77.2,86
74,84.7
70.76,84.74
68.1,86.53
62.120586,162.742216
65.89,88.86
62.7,90.1
59.593782,89.3
57.508832,86.88
57,83.9
57.264053,80.882939
57.644053,77.832939
58.024053,74.792939
58.514053,71.752939
59.19,68.88
63.603175,165.74
59.778991,65.837336
60.2,62.8
60.7,59.82
61.18,56.85
61.7,53.8
62.1,50.77
62.4,47.79
62.642035,44.827612
62.8,41.78
62.3,38.6
66.28,168.14
60.1,36.1
57.1,34.7
54.102664,34.138991
51.1,34
48.3,33.9
45.2,33.9
42.1,34
39.072388,34.457965
36.1,35.2
32.931401,36.51234
69.71,168.96
29.9,38.1
27.147811,40.138267
24.77,42.7
22.9,45.6
21.808433,48.716797
21.2,51.7
21.037732,54.659091
21.0875,57.7775
21.47,60.68
22.1,63.7
45.3,120.4
73.14,168.37
23,66.81
24.1,69.82
25.3,72.9
26.6,75.9
27.8,78.9
29.01234,81.868599
30.3,84.78
31.608832,87.815831
32.9,90.9
34.2,93.9
75.67,165.76
35.41234,96.8
36.71234,99.868599
38.01234,102.82
39.20234,105.81
40.439414,108.657784
41.608832,111.615831
42.8,114.3
76.01,162.76
75.7,159.8
75.033708,156.758284
73.848832,153.765831
72.506028,150.920658
71.38,147.9
70.45,144.92
69.44,141.89
46.7,123.4
68.45,138.87
67.57,135.83
66.9,132.8
66.625083,129.82
66.62,126.96
66.71,123.97
65.9,120.8
63.9,117.8
60.81,115.99
57.88,114.95
47.91234,126.468599
54.89,113.86
52.01,112.72
49.575461,111.037116
48.125,108
48.508832,104.684169
50.793782,102.13218
54.179526,101.580206
57.198852,102.243826
60.325,103.175
63.2486,104.25234
49.2,129.5
66.225,105.35
69.200907,106.296086
72.1,107.175
75.075,107.85
78.05,108.18
80.9475,108.1925
83.9775,108.2225
87.02,108.2
90.3,108
93.34,107.43
50.5,132.5
96.236148,106.638827
99.05,105.91
101.98,105.29
104.9,104.91
107.9,104.8
110.9,104.8
113.98,105.27
116.96,106.48
119.9,107.8
122.936218,109.667181
51.808832,135.415831
125.92,111.6
128.804169,113.311168
131.768599,114.79234
134.87,115.91
137.88,116.71
140.9,117
143.9,117.1
146.9,117.24
149.9,117.24
152.9,117.24
53.1,138.6
155.9575,117.2525
159,117
161.9375,116.6125
165.0275,115.8525
167.9,114.7
170.676148,113.218827
173.3,111.4
175.705026,109.294975
177.9,106.8
178.9,103.7
54.3,141.6
178.9,100.8
178.466086,97.810907
177.48,94.85
175.7,91.92
173.58,89
171.73,86.23
169.91,83.07
168.35,80.25
166.75,77.26
165.28,74.28