led_num,x,y
1,44.00,117.30
2,45.30,120.40
3,46.70,123.40
4,47.91,126.47
5,49.20,129.50
6,50.50,132.50
7,51.81,135.42
8,53.10,138.60
9,54.30,141.60
10,55.44,144.67
11,56.60,147.68
12,57.71,150.57
13,58.81,153.65
14,59.90,156.80
15,60.91,159.70
16,62.12,162.74
17,63.60,165.74
18,66.28,168.14
19,69.71,168.96
20,73.14,168.37
21,75.67,165.76
22,76.01,162.76
23,75.70,159.80
24,75.03,156.76
25,73.85,153.77
26,72.51,150.92
27,71.38,147.90
28,70.45,144.92
29,69.44,141.89
30,68.45,138.87
31,67.57,135.83
32,66.90,132.80
33,66.63,129.82
34,66.62,126.96
35,66.71,123.97
36,65.90,120.80
37,63.90,117.80
38,60.81,115.99
39,57.88,114.95
40,54.89,113.86
41,52.01,112.72
42,49.58,111.04
43,48.13,108.00
44,48.51,104.68
45,50.79,102.13
46,54.18,101.58
47,57.20,102.24
48,60.33,103.18
49,63.25,104.25
50,66.23,105.35
51,69.20,106.30
52,72.10,107.18
53,75.08,107.85
54,78.05,108.18
55,80.95,108.19
56,83.98,108.22
57,87.02,108.20
58,90.30,108.00
59,93.34,107.43
60,96.24,106.64
61,99.05,105.91
62,101.98,105.29
63,104.90,104.91
64,107.90,104.80
65,110.90,104.80
66,113.98,105.27
67,116.96,106.48
68,119.90,107.80
69,122.94,109.67
70,125.92,111.60
71,128.80,113.31
72,131.77,114.79
73,134.87,115.91
74,137.88,116.71
75,140.90,117.00
76,143.90,117.10
77,146.90,117.24
78,149.90,117.24
79,152.90,117.24
80,155.96,117.25
81,159.00,117.00
82,161.94,116.61
83,165.03,115.85
84,167.90,114.70
85,170.68,113.22
86,173.30,111.40
87,175.71,109.29
88,177.90,106.80
89,178.90,103.70
90,178.90,100.80
91,178.47,97.81
92,177.48,94.85
93,175.70,91.92
94,173.58,89.00
95,171.73,86.23
96,169.91,83.07
97,168.35,80.25
98,166.75,77.26
99,165.28,74.28
100,163.98,71.16
101,162.62,68.05
102,161.24,65.05
103,159.66,62.21
104,157.10,60.23
105,154.03,59.33
106,150.95,59.15
107,147.97,59.35
108,145.12,59.61
109,142.08,60.25
110,139.08,61.35
111,136.32,62.64
112,133.64,64.17
113,130.98,65.70
114,128.66,67.41
115,126.61,69.86
116,126.10,73.28
117,127.13,76.43
118,129.36,79.02
119,132.53,80.43
120,135.61,80.90
121,138.67,81.19
122,141.75,81.53
123,144.86,82.10
124,147.91,83.03
125,150.95,84.20
126,153.90,85.80
127,155.93,88.18
128,156.99,91.41
129,156.77,94.71
130,155.15,97.73
131,152.10,99.19
132,148.90,99.80
133,145.90,99.80
134,142.90,99.80
135,139.90,99.80
136,136.90,99.80
137,133.90,99.80
138,130.90,99.80
139,127.90,99.80
140,124.90,99.80
141,121.90,99.80
142,118.95,99.60
143,115.93,99.24
144,112.87,98.89
145,109.85,98.38
146,106.90,97.80
147,103.77,96.93
148,100.76,96.10
149,97.81,95.20
150,94.75,94.14
151,91.58,93.09
152,88.62,91.88
153,85.80,90.52
154,83.10,89.10
155,80.20,87.50
156,77.20,86.00
157,74.00,84.70
158,70.76,84.74
159,68.10,86.53
160,65.89,88.86
161,62.70,90.10
162,59.59,89.30
163,57.51,86.88
164,57.00,83.90
165,57.26,80.88
166,57.64,77.83
167,58.02,74.79
168,58.51,71.75
169,59.19,68.88
170,59.78,65.84
171,60.20,62.80
172,60.70,59.82
173,61.18,56.85
174,61.70,53.80
175,62.10,50.77
176,62.40,47.79
177,62.64,44.83
178,62.80,41.78
179,62.30,38.60
180,60.10,36.10
181,57.10,34.70
182,54.10,34.14
183,51.10,34.00
184,48.30,33.90
185,45.20,33.90
186,42.10,34.00
187,39.07,34.46
188,36.10,35.20
189,32.93,36.51
190,29.90,38.10
191,27.15,40.14
192,24.77,42.70
193,22.90,45.60
194,21.81,48.72
195,21.20,51.70
196,21.04,54.66
197,21.09,57.78
198,21.47,60.68
199,22.10,63.70
200,23.00,66.81
201,24.10,69.82
202,25.30,72.90
203,26.60,75.90
204,27.80,78.90
205,29.01,81.87
206,30.30,84.78
207,31.61,87.82
208,32.90,90.90
209,34.20,93.90
210,35.41,96.80
211,36.71,99.87
212,38.01,102.82
213,39.20,105.81
214,40.44,108.66
215,41.61,111.62
216,42.80,114.30